Date,AGG,DBC,VTI,^VIX
2016-05-18,89.67156982421875,13.476794242858887,90.71267700195312,15.949999809265137
2016-05-19,89.7284164428711,13.439971923828125,90.35679626464844,16.329999923706055
2016-05-20,89.7853012084961,13.495203971862793,91.05122375488281,15.199999809265137
2016-05-23,89.76904296875,13.421561241149902,90.93836975097656,15.819999694824219
2016-05-24,89.72037506103516,13.421561241149902,92.1536865234375,14.420000076293945
2016-05-25,89.7365951538086,13.57805347442627,92.82209777832031,13.899999618530273
2016-05-26,89.87467956542969,13.56884765625,92.80474090576172,13.430000305175781
2016-05-27,89.8584213256836,13.624080657958984,93.2214126586914,13.119999885559082
2016-05-31,89.91527557373047,13.541232109069824,93.1780014038086,14.1899995803833
2016-06-01,89.86481475830078,13.679313659667969,93.42974090576172,14.199999809265137
2016-06-02,90.09269714355469,13.706930160522461,93.74222564697266,13.630000114440918
2016-06-03,90.58098602294922,13.79898452758789,93.4818115234375,13.470000267028809
2016-06-06,90.45890808105469,13.964682579040527,93.9679183959961,13.649999618530273
2016-06-07,90.540283203125,14.102765083312988,94.15022277832031,14.050000190734863
2016-06-08,90.5728759765625,14.342105865478516,94.4800796508789,14.079999923706055
2016-06-09,90.63795471191406,14.31449031829834,94.28910827636719,14.640000343322754
2016-06-10,90.76001739501953,14.13958740234375,93.31686401367188,17.030000686645508
2016-06-13,90.8332748413086,14.13958740234375,92.54431915283203,20.969999313354492
2016-06-14,90.79258728027344,14.047531127929688,92.37776184082031,20.5
2016-06-15,90.9879150390625,13.973889350891113,92.28185272216797,20.139999389648438
2016-06-16,91.04486846923828,13.734546661376953,92.5521469116211,19.3700008392334
2016-06-17,90.97977447509766,14.056737899780273,92.2469711303711,19.40999984741211
2016-06-20,90.72747039794922,14.185614585876465,92.87476348876953,18.3700008392334
2016-06-21,90.6623764038086,14.075148582458496,93.07530975341797,18.479999542236328
2016-06-22,90.71929168701172,13.99229907989502,92.86604309082031,21.170000076293945
2016-06-23,90.5647201538086,14.102765083312988,94.147705078125,17.25
2016-06-24,91.0530014038086,13.81739616394043,90.72115325927734,25.760000228881836
2016-06-27,91.41926574707031,13.789778709411621,88.91632843017578,23.850000381469727
2016-06-28,91.53319549560547,14.010710716247559,90.54676818847656,18.75
2016-06-29,91.46806335449219,14.213229179382324,92.16851806640625,16.639999389648438
2016-06-30,91.65525817871094,14.13038158416748,93.43278503417969,15.630000114440918
2016-07-01,91.85258483886719,14.305285453796387,93.61588287353516,14.770000457763672
2016-07-05,92.0971908569336,13.900245666503906,92.91835021972656,15.579999923706055
2016-07-06,92.26844024658203,13.955477714538574,93.4850845336914,14.960000038146973
2016-07-07,92.20318603515625,13.55964183807373,93.44149017333984,14.760000228881836
2016-07-08,92.34180450439453,13.697724342346191,94.8975601196289,13.199999809265137
2016-07-11,92.0971908569336,13.642491340637207,95.28993225097656,13.539999961853027
2016-07-12,91.81996154785156,13.900245666503906,96.08333587646484,13.550000190734863
2016-07-13,91.95044708251953,13.725340843200684,96.03103637695312,13.039999961853027
2016-07-14,91.868896484375,13.780573844909668,96.49313354492188,12.819999694824219
2016-07-15,91.53460693359375,13.743752479553223,96.38850402832031,12.670000076293945
2016-07-18,91.5509033203125,13.679313659667969,96.65879821777344,12.4399995803833
2016-07-19,91.73848724365234,13.596465110778809,96.46697998046875,11.970000267028809
